capacitor,bypassed_component,bypassed_pin,capacitance
C128,U23,F3,1000
C129,U23,E3,1000
C130,U23,G10,1000
C131,U23,K8,1000
C132,U23,H10,1000
C133,U23,H5,1000
C134,U23,E8,1000
C135,U23,D8,1000
C136,U23,B9,1000
C137,U23,A6,1000
C138,P26,1,1000
C144,U20,8,1000
C118,X3,2,0.018
C157,X2,1,0.018
C158,X2,3,0.018
C164,X3,1,0.018
