placement_region,component
FLASH,U20
FLASH,C144
JUMPERS,JP1
JUMPERS,R93
JUMPERS,R68
JUMPERS,R67
JTAG,P26
JTAG,R62
JTAG,R63
JTAG,R64
JTAG,R65
JTAG,R66
