capacitor,bypassed_component,bypassed_pin,capacitance
C100,U18,1,1000
C123,U18,18,1000
C141,U8,9,1000
C142,U3,9,1000
C156,U34,9,1000
C159,U35,9,1000
C186,U18,18,10000
C187,U18,18,1000
C71,U18,2,1000
C73,U18,8,1000
C75,U18,11,1000
C77,U18,33,1000
C79,U18,39,1000
C82,U18,43,1000
C72,U36,5,1000
C83,U18,46,1000
C97,U18,47,1000
C98,U18,48,1000
