capacitor,bypassed_component,bypassed_pin,capacitance
C148,U16,1,1000
C149,U16,1,1000
C197,U16,1,10000
C117,FB6,2,10000
C178,U16,5,1000
C196,U16,5,1000
C150,U16,22,1000
C174,U16,22,1000
C197,U16,22,10000
C177,U16,24,1000
C176,U16,29,1000
C179,U16,30,1000
C205,U16,30,1000
C183,U16,33,1000
C185,U16,33,1000
C197,U16,33,10000
