capacitor,bypassed_component,bypassed_pin,capacitance
C32,U28,6,1000
C33,U28,1,1000
C147,U21,3.1,22000
C169,FB5,1,10000
C22,U32,3,1000
C23,U32,2,1000
C105,FB3,2,10000
C126,L10,2,10000
C127,C126,1,10000
C143,FB1,2,22000
C145,L11,1,10000
C146,C145,2,10000
C154,C105,1,10000
C163,Q3,2,10000
C165,Q6,2,10000
C166,FB2,1,10000
C167,FB2,2,10000
C170,FB5,2,10000
C172,FB7,1,10000
C173,U22,3,1000
C175,U22,2,10000
C181,FB4,2,10000
C182,C181,1,10000
C184,FB7,2,10000
