capacitor,bypassed_component,bypassed_pin,capacitance
C39,U33,16,1000
C40,U31,5,1000
C43,U30,5,1000
C113,U19,10,1000
C119,U19,11,1000
C120,U19,14,1000
C121,U19,18,1000
C122,U19,20,1000
C168,X1,4,1000
C199,U37,5,1000
